,arrays,cycle_time,dma_chunk_size,factors,mat_size,memory_type,partition,pipelined_dma,ready_mode,spad_ports,unrolling_factor_norm,unrolling_factor_row_sub,unrolling_factor_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
0,"['A', 'I']",5,64,64,64,spad,cyclic,True,1,4,32,1,32,28.2372,42.2132,13.976,1.04562,1.60688,2.6525,44.8657,182428,1.27972e+06,128098,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
1,"['A', 'I']",5,64,64,64,spad,cyclic,True,1,16,32,1,32,28.2372,42.2132,13.976,1.04562,1.60688,2.6525,44.8657,182428,1.27972e+06,128098,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
2,"['A', 'I']",5,64,64,64,spad,block,True,1,4,32,1,32,4.23951,14.3511,10.1116,0.174544,1.60688,1.78143,16.1326,1092843,828220,412907,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
3,"['A', 'I']",5,64,64,64,spad,block,True,1,16,32,1,32,4.23951,14.3511,10.1116,0.174544,1.60688,1.78143,16.1326,1092843,828220,412907,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
4,"['A', 'I']",5,128,64,64,spad,cyclic,True,1,4,32,1,32,28.2372,42.2132,13.976,1.04562,1.60688,2.6525,44.8657,182428,1.27972e+06,128098,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
5,"['A', 'I']",5,128,64,64,spad,cyclic,True,1,16,32,1,32,28.2372,42.2132,13.976,1.04562,1.60688,2.6525,44.8657,182428,1.27972e+06,128098,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
6,"['A', 'I']",5,128,64,64,spad,block,True,1,4,32,1,32,4.23951,14.3511,10.1116,0.174544,1.60688,1.78143,16.1326,1092843,828220,412907,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
7,"['A', 'I']",5,128,64,64,spad,block,True,1,16,32,1,32,4.23951,14.3511,10.1116,0.174544,1.60688,1.78143,16.1326,1092843,828220,412907,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
8,"['A', 'I']",5,256,64,64,spad,cyclic,True,1,4,32,1,32,28.2372,42.2132,13.976,1.04562,1.60688,2.6525,44.8657,182428,1.27972e+06,128098,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
9,"['A', 'I']",5,256,64,64,spad,cyclic,True,1,16,32,1,32,28.2372,42.2132,13.976,1.04562,1.60688,2.6525,44.8657,182428,1.27972e+06,128098,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
10,"['A', 'I']",5,256,64,64,spad,block,True,1,4,32,1,32,4.23951,14.3511,10.1116,0.174544,1.60688,1.78143,16.1326,1092843,828220,412907,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
11,"['A', 'I']",5,256,64,64,spad,block,True,1,16,32,1,32,4.23951,14.3511,10.1116,0.174544,1.60688,1.78143,16.1326,1092843,828220,412907,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
12,"['A', 'I']",5,512,64,64,spad,cyclic,True,1,4,32,1,32,28.2372,42.2132,13.976,1.04562,1.60688,2.6525,44.8657,182428,1.27972e+06,128098,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
13,"['A', 'I']",5,512,64,64,spad,cyclic,True,1,16,32,1,32,28.2372,42.2132,13.976,1.04562,1.60688,2.6525,44.8657,182428,1.27972e+06,128098,107829,4353,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.38755e+06
14,"['A', 'I']",5,512,64,64,spad,block,True,1,4,32,1,32,4.23951,14.3511,10.1116,0.174544,1.60688,1.78143,16.1326,1092843,828220,412907,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
15,"['A', 'I']",5,512,64,64,spad,block,True,1,16,32,1,32,4.23951,14.3511,10.1116,0.174544,1.60688,1.78143,16.1326,1092843,828220,412907,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
